掘进机                                       ,客户    ,中铁十二局集团有限公司                                          ,
产品需求                                      ,客户要求  ,6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案            ,
产品需求                                      ,客户要求  ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
产品需求                                      ,客户要求  ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
产品需求                                      ,客户要求  ,9、建议核实主机最小水平转弯半径                                     ,
产品需求                                      ,客户要求  ,10、建议进行热平衡计算                                         ,
产品需求                                      ,客户要求  ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
产品需求                                      ,客户要求  ,12、建议根据列车编组长度核实落料口位置                                 ,
产品需求                                      ,客户要求  ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
产品需求                                      ,客户要求  ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,2、确认盾构机为主动铰接                                         ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,3、确认采用中心支撑形式                                         ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,4、确认配置环保厕所                                           ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,5、建议核实冷冻机组尺寸和能力                                      ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案            ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,9、建议核实主机最小水平转弯半径                                     ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,10、建议进行热平衡计算                                         ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
1、确认配置冷冻刀盘，切刀2个连续磨损检测，刮刀2个连续磨损检测          ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
2、确认盾构机为主动铰接                              ,同类    ,3、确认采用中心支撑形式                                         ,
2、确认盾构机为主动铰接                              ,同类    ,4、确认配置环保厕所                                           ,
2、确认盾构机为主动铰接                              ,同类    ,5、建议核实冷冻机组尺寸和能力                                      ,
2、确认盾构机为主动铰接                              ,同类    ,6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案            ,
2、确认盾构机为主动铰接                              ,同类    ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
2、确认盾构机为主动铰接                              ,同类    ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
2、确认盾构机为主动铰接                              ,同类    ,9、建议核实主机最小水平转弯半径                                     ,
2、确认盾构机为主动铰接                              ,同类    ,10、建议进行热平衡计算                                         ,
2、确认盾构机为主动铰接                              ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
2、确认盾构机为主动铰接                              ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
2、确认盾构机为主动铰接                              ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
2、确认盾构机为主动铰接                              ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
3、确认采用中心支撑形式                              ,同类    ,4、确认配置环保厕所                                           ,
3、确认采用中心支撑形式                              ,同类    ,5、建议核实冷冻机组尺寸和能力                                      ,
3、确认采用中心支撑形式                              ,同类    ,6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案            ,
3、确认采用中心支撑形式                              ,同类    ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
3、确认采用中心支撑形式                              ,同类    ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
3、确认采用中心支撑形式                              ,同类    ,9、建议核实主机最小水平转弯半径                                     ,
3、确认采用中心支撑形式                              ,同类    ,10、建议进行热平衡计算                                         ,
3、确认采用中心支撑形式                              ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
3、确认采用中心支撑形式                              ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
3、确认采用中心支撑形式                              ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
3、确认采用中心支撑形式                              ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
4、确认配置环保厕所                                ,同类    ,5、建议核实冷冻机组尺寸和能力                                      ,
4、确认配置环保厕所                                ,同类    ,6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案            ,
4、确认配置环保厕所                                ,同类    ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
4、确认配置环保厕所                                ,同类    ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
4、确认配置环保厕所                                ,同类    ,9、建议核实主机最小水平转弯半径                                     ,
4、确认配置环保厕所                                ,同类    ,10、建议进行热平衡计算                                         ,
4、确认配置环保厕所                                ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
4、确认配置环保厕所                                ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
4、确认配置环保厕所                                ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
4、确认配置环保厕所                                ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案            ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,9、建议核实主机最小水平转弯半径                                     ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,10、建议进行热平衡计算                                         ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
5、建议核实冷冻机组尺寸和能力                           ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                                ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,9、建议核实主机最小水平转弯半径                                     ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,10、建议进行热平衡计算                                         ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
6、建议核实刀盘、盾体、拼装机由8.8m盾构改9.1m盾构的便利性，并提供改造方案 ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                     ,同类    ,8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动           ,
7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                     ,同类    ,9、建议核实主机最小水平转弯半径                                     ,
7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                     ,同类    ,10、建议进行热平衡计算                                         ,
7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                     ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                     ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                     ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
7、建议刀盘边缘滚刀配置双刃滚刀并提供方案                     ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动,同类    ,9、建议核实主机最小水平转弯半径                                     ,
8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动,同类    ,10、建议进行热平衡计算                                         ,
8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
8、建议刀盘背部面板上的4个主动搅拌棒往内圆方向移动，支腿上的3个主动搅拌棒往上移动,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
9、建议核实主机最小水平转弯半径                          ,同类    ,10、建议进行热平衡计算                                         ,
9、建议核实主机最小水平转弯半径                          ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
9、建议核实主机最小水平转弯半径                          ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
9、建议核实主机最小水平转弯半径                          ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
9、建议核实主机最小水平转弯半径                          ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
10、建议进行热平衡计算                              ,同类    ,11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存              ,
10、建议进行热平衡计算                              ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
10、建议进行热平衡计算                              ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
10、建议进行热平衡计算                              ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存   ,同类    ,12、建议根据列车编组长度核实落料口位置                                 ,
11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存   ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
11、建议核实螺旋机第一节筒体油缸开闭式检修门与120°可更换筒体是否可以共存   ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
12、建议根据列车编组长度核实落料口位置                      ,同类    ,13、建议油漆参照大直径泥水“太阳花刀盘”                                ,
12、建议根据列车编组长度核实落料口位置                      ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
13、建议油漆参照大直径泥水“太阳花刀盘”                     ,同类    ,14、合同签订购买2台土压平衡盾构工厂验收时间第一台为2018年5月18日，第二台为2018年6月18日。,
                                          ,      ,                                                     ,
ZTE8800技术参数                               ,主部件名称 ,工程概述                                                 ,
ZTE8800技术参数                               ,主部件名称 ,整机概述                                                 ,
ZTE8800技术参数                               ,主部件名称 ,刀盘                                                   ,
ZTE8800技术参数                               ,主部件名称 ,刀具                                                   ,
ZTE8800技术参数                               ,主部件名称 ,中心回转接头                                               ,
ZTE8800技术参数                               ,主部件名称 ,主驱动                                                  ,
ZTE8800技术参数                               ,主部件名称 ,盾体                                                   ,
ZTE8800技术参数                               ,主部件名称 ,人舱                                                   ,
ZTE8800技术参数                               ,主部件名称 ,螺旋输送机                                                ,
ZTE8800技术参数                               ,主部件名称 ,管片拼装机                                                ,
ZTE8800技术参数                               ,主部件名称 ,管片吊运系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,皮带机                                                  ,
ZTE8800技术参数                               ,主部件名称 ,后配套拖车                                                ,
ZTE8800技术参数                               ,主部件名称 ,液压系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,推进系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,铰接系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,同步注浆系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,双液注浆系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,二次补浆系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,膨润土系统                                                ,
ZTE8800技术参数                               ,主部件名称 ,泡沫系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,压缩空气系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,工业供水及冷却系统                                            ,
ZTE8800技术参数                               ,主部件名称 ,盾尾油脂系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,油脂集中润滑系统                                             ,
ZTE8800技术参数                               ,主部件名称 ,排污系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,保压及呼吸系统                                              ,
ZTE8800技术参数                               ,主部件名称 ,二次供风系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,供电系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,导向系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,控制系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,监控系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,通信系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,数据采集系统                                               ,
ZTE8800技术参数                               ,主部件名称 ,照明系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,消防系统                                                 ,
ZTE8800技术参数                               ,主部件名称 ,有害气体监测系统                                             ,
ZTE8800技术参数                               ,主部件名称 ,装机功率                                                 ,
                                          ,      ,                                                     ,
管片吊运系统                                    ,关联    ,液压系统                                                 ,
管片吊运系统                                    ,关联    ,推进系统                                                 ,
管片吊运系统                                    ,关联    ,铰接系统                                                 ,
管片吊运系统                                    ,关联    ,同步注浆系统                                               ,
管片吊运系统                                    ,关联    ,双液注浆系统                                               ,
管片吊运系统                                    ,关联    ,二次补浆系统                                               ,
管片吊运系统                                    ,关联    ,膨润土系统                                                ,
管片吊运系统                                    ,关联    ,泡沫系统                                                 ,
管片吊运系统                                    ,关联    ,压缩空气系统                                               ,
管片吊运系统                                    ,关联    ,工业供水及冷却系统                                            ,
管片吊运系统                                    ,关联    ,盾尾油脂系统                                               ,
管片吊运系统                                    ,关联    ,油脂集中润滑系统                                             ,
管片吊运系统                                    ,关联    ,排污系统                                                 ,
管片吊运系统                                    ,关联    ,保压及呼吸系统                                              ,
管片吊运系统                                    ,关联    ,二次供风系统                                               ,
管片吊运系统                                    ,关联    ,供电系统                                                 ,
管片吊运系统                                    ,关联    ,导向系统                                                 ,
管片吊运系统                                    ,关联    ,控制系统                                                 ,
管片吊运系统                                    ,关联    ,监控系统                                                 ,
管片吊运系统                                    ,关联    ,通信系统                                                 ,
管片吊运系统                                    ,关联    ,数据采集系统                                               ,
管片吊运系统                                    ,关联    ,照明系统                                                 ,
管片吊运系统                                    ,关联    ,消防系统                                                 ,
管片吊运系统                                    ,关联    ,有害气体监测系统                                             ,
管片吊运系统                                    ,关联    ,装机功率                                                 ,
                                          ,      ,                                                     ,
液压系统                                      ,关联    ,推进系统                                                 ,
液压系统                                      ,关联    ,铰接系统                                                 ,
液压系统                                      ,关联    ,同步注浆系统                                               ,
液压系统                                      ,关联    ,双液注浆系统                                               ,
液压系统                                      ,关联    ,二次补浆系统                                               ,
液压系统                                      ,关联    ,膨润土系统                                                ,
液压系统                                      ,关联    ,泡沫系统                                                 ,
液压系统                                      ,关联    ,压缩空气系统                                               ,
液压系统                                      ,关联    ,工业供水及冷却系统                                            ,
液压系统                                      ,关联    ,盾尾油脂系统                                               ,
液压系统                                      ,关联    ,油脂集中润滑系统                                             ,
液压系统                                      ,关联    ,排污系统                                                 ,
液压系统                                      ,关联    ,保压及呼吸系统                                              ,
液压系统                                      ,关联    ,二次供风系统                                               ,
液压系统                                      ,关联    ,供电系统                                                 ,
液压系统                                      ,关联    ,导向系统                                                 ,
液压系统                                      ,关联    ,控制系统                                                 ,
液压系统                                      ,关联    ,监控系统                                                 ,
液压系统                                      ,关联    ,通信系统                                                 ,
液压系统                                      ,关联    ,数据采集系统                                               ,
液压系统                                      ,关联    ,照明系统                                                 ,
液压系统                                      ,关联    ,消防系统                                                 ,
液压系统                                      ,关联    ,有害气体监测系统                                             ,
液压系统                                      ,关联    ,装机功率                                                 ,
                                          ,      ,                                                     ,
推进系统                                      ,关联    ,铰接系统                                                 ,
推进系统                                      ,关联    ,同步注浆系统                                               ,
推进系统                                      ,关联    ,双液注浆系统                                               ,
推进系统                                      ,关联    ,二次补浆系统                                               ,
推进系统                                      ,关联    ,膨润土系统                                                ,
推进系统                                      ,关联    ,泡沫系统                                                 ,
推进系统                                      ,关联    ,压缩空气系统                                               ,
推进系统                                      ,关联    ,工业供水及冷却系统                                            ,
推进系统                                      ,关联    ,盾尾油脂系统                                               ,
推进系统                                      ,关联    ,油脂集中润滑系统                                             ,
推进系统                                      ,关联    ,排污系统                                                 ,
推进系统                                      ,关联    ,保压及呼吸系统                                              ,
推进系统                                      ,关联    ,二次供风系统                                               ,
推进系统                                      ,关联    ,供电系统                                                 ,
推进系统                                      ,关联    ,导向系统                                                 ,
推进系统                                      ,关联    ,控制系统                                                 ,
推进系统                                      ,关联    ,监控系统                                                 ,
推进系统                                      ,关联    ,通信系统                                                 ,
推进系统                                      ,关联    ,数据采集系统                                               ,
推进系统                                      ,关联    ,照明系统                                                 ,
推进系统                                      ,关联    ,消防系统                                                 ,
推进系统                                      ,关联    ,有害气体监测系统                                             ,
推进系统                                      ,关联    ,装机功率                                                 ,
                                          ,      ,                                                     ,
铰接系统                                      ,关联    ,同步注浆系统                                               ,
铰接系统                                      ,关联    ,双液注浆系统                                               ,
铰接系统                                      ,关联    ,二次补浆系统                                               ,
铰接系统                                      ,关联    ,膨润土系统                                                ,
铰接系统                                      ,关联    ,泡沫系统                                                 ,
铰接系统                                      ,关联    ,压缩空气系统                                               ,
铰接系统                                      ,关联    ,工业供水及冷却系统                                            ,
铰接系统                                      ,关联    ,盾尾油脂系统                                               ,
铰接系统                                      ,关联    ,油脂集中润滑系统                                             ,
铰接系统                                      ,关联    ,排污系统                                                 ,
铰接系统                                      ,关联    ,保压及呼吸系统                                              ,
铰接系统                                      ,关联    ,二次供风系统                                               ,
铰接系统                                      ,关联    ,供电系统                                                 ,
铰接系统                                      ,关联    ,导向系统                                                 ,
铰接系统                                      ,关联    ,控制系统                                                 ,
铰接系统                                      ,关联    ,监控系统                                                 ,
铰接系统                                      ,关联    ,通信系统                                                 ,
铰接系统                                      ,关联    ,数据采集系统                                               ,
铰接系统                                      ,关联    ,照明系统                                                 ,
铰接系统                                      ,关联    ,消防系统                                                 ,
铰接系统                                      ,关联    ,有害气体监测系统                                             ,
铰接系统                                      ,关联    ,装机功率                                                 ,
                                          ,      ,                                                     ,
同步注浆系统                                    ,关联    ,双液注浆系统                                               ,
